Taxa,sol_VH,sol_Mo,tot,lab,occ,stp,PHO,PNZ,POL,TP,extP
IS23248.D1EYBACXX.1.250137762,0,10,104,6.4530797,61.64570236,571.7828979,NA,4853,NA,400,22
IS23262.D1EYBACXX.1.250137763,10,20,104,6.4530797,61.64570236,643.2896729,NA,4875,NA,400,23
IS23263.D1EYBACXX.1.250137764,0,34,116.9999924,7.259714127,69.35140228,388.625824,NA,1519,515,300,29
IS23275.D1EYBACXX.1.250137765,0,100,44.95454407,2.789377451,26.64667702,336.6248474,800,2577,723,500,27
IS23283.D1EYBACXX.1.250137766,0,20,321.8891602,39.77147675,73.31347656,405.8765869,0,2616,457,300,20
IS23298.D1EYBACXX.1.250137767,10,20,116.9999924,7.259714127,69.35140228,317.2540588,NA,4875,NA,400,23
IS23306.D1EYBACXX.1.250137768,0,100,321.8891602,34.7212944,69.44468689,392.631012,800,2577,723,500,27
IS23308.D1EYBACXX.1.250137769,0,100,209.7156677,22.62144661,45.24427032,340.1508179,800,2577,723,500,28
IS23319.D1EYBACXX.1.250137770,10,10,104,6.4530797,61.64570236,601.1328735,NA,4687,NA,400,25
IS23322.D1EYBACXX.1.250137771,30,10,104,6.4530797,61.64570236,354.3401489,NA,4709,NA,400,20
IS23335.D1EYBACXX.1.250137772,0,34,545.8120117,58.87522888,117.7540283,418.4499817,NA,1519,515,300,24
IS23341.D1EYBACXX.1.250137773,10,20,69,4.281369686,40.89954758,497.9188843,NA,4875,NA,400,26
IS23357.D1EYBACXX.1.250137774,0,90,485.1662903,59.9454155,110.5014648,565.0281372,200,2992,NA,600,23
IS23358.D1EYBACXX.1.250137775,10,10,104,6.4530797,61.64570236,521.003479,NA,4687,NA,400,22
IS23363.D1EYBACXX.1.250137776,10,20,63.24999619,3.924589157,37.4912529,450.8608093,NA,4875,NA,400,22
IS23366.D1EYBACXX.1.250137777,10,20,116.9999924,7.259714127,69.35140228,488.8948364,NA,4875,NA,400,24
IS23367.D1EYBACXX.1.250137778,0,10,206.9999847,14.29995537,103.9856186,411.9007874,NA,3318,NA,300,20
IS23370.D1EYBACXX.1.250137779,0,20,63.24999619,3.924589157,37.4912529,474.9927368,NA,4875,NA,400,24
IS23373.D1EYBACXX.1.250137780,10,20,116.9999924,7.259714127,69.35140228,407.5730286,NA,4875,NA,400,22
IS23375.D1EYBACXX.1.250137781,10,20,63.24999619,3.924589157,37.4912529,406.9971008,NA,4875,NA,400,23
IS23376.D1EYBACXX.1.250137782,10,20,63.24999619,3.924589157,37.4912529,517.1942749,NA,4875,NA,400,23
IS23514.MRG.4.250047514,0,80,297.1404114,16.12194824,140.3009796,494.7965088,NA,3320,973,700,24
IS23521.MRG.4.250047515,0,80,297.1404114,16.12194824,140.3009796,494.7965088,NA,3320,973,700,24
IS23574.70MUKAAXX.2.250006059,0,80,297.1404114,16.12194824,140.3009796,494.7965088,NA,3320,973,700,24
IS23579.MRG.4.250047516,90,10,545.8120117,67.43858337,124.3141403,441.2121277,300,4765,524,700,24
IS23586.MRG.4.250047517,90,10,545.8120117,67.43858337,124.3141403,441.2121277,300,4765,524,700,22
IS23590.MRG.4.250047518,90,10,545.8120117,67.43858337,124.3141403,441.2121277,300,4765,524,700,22
IS23601.70MUKAAXX.2.250006071,30,70,297.1404114,16.12194824,140.3009796,514.1651611,NA,3042,1060,600,25
IS23615.D1EYBACXX.1.250137783,0,70,604.5,41.7600174,303.6681519,623.6335449,NA,NA,NA,NA,27
IS23644.MRG.4.250047519,0,100,206.9999847,14.29995537,103.9856186,355.7468872,1000,1623,796,200,20
IS23645.628P7AAXX.7.250007085,0,100,206.9999847,14.29995537,103.9856186,355.7468872,1000,1623,796,200,20
IS23651.D1EYBACXX.1.250137784,0,100,321.8891602,34.7212944,69.44468689,345.4238586,NA,NA,NA,NA,22
IS23666.628P7AAXX.7.250007109,60,40,206.9999847,14.29995537,103.9856186,390.5897217,NA,NA,NA,NA,21
IS23669.628NVAAXX.5.250006911,60,40,321.8891602,34.7212944,69.44468689,486.7840881,NA,NA,NA,NA,21
IS2367.70MUKAAXX.1.250006437,0,67,940.0096436,101.3962326,202.7986298,328.8744812,NA,1987,NA,500,23
IS23674.D1EYBACXX.1.250137785,60,40,206.9999847,14.29995537,103.9856186,424.8171387,NA,NA,NA,NA,21
IS23675.D1EYBACXX.1.250137786,0,100,297.1404114,21.5375824,112.173912,269.0239258,1000,2878,534,500,21
IS23679.D1EYBACXX.1.250137787,0,0,116.9999924,7.259714127,69.35140228,298.4737549,NA,5029,NA,400,26
IS23684.MRG.4.250047520,0,100,503.8467712,36.5202446,190.2079315,295.9006653,1000,2878,534,500,22
IS23685.D1EYBACXX.1.250137788,0,100,297.1404114,21.5375824,112.173912,270.5632019,1000,2878,534,500,24
