Taxa,sol_VH,sol_Mo,tot,lab,occ,stp,PHO,PNZ,POL,TP,extP
SEEDGWAS1049:MRG:4:250067749,0,67,297.1404114,21.5375824,112.173912,1027.116943,NA,3820,NA,NA,NA
SEEDGWAS105:MRG:4:250054520,0,100,1323.805298,142.7952271,285.5990906,1342.108765,200,4520,523,700,NA
SEEDGWAS1050:MRG:4:250067750,0,67,297.1404114,21.5375824,112.173912,1027.116943,NA,3820,NA,NA,NA
SEEDGWAS1051:MRG:4:250067752,0,67,297.1404114,21.5375824,112.173912,1027.116943,NA,3820,NA,NA,NA
SEEDGWAS106:MRG:4:250054521,20,50,321.8891602,34.7212944,69.44468689,470.8172302,NA,NA,NA,NA,NA
SEEDGWAS107:MRG:4:250054522,0,50,272.3787231,19.74278259,102.826088,414.7412415,NA,4212,NA,NA,NA
SEEDGWAS1085:MRG:4:250067782,0,60,297.1404114,21.5375824,112.173912,637.8920288,NA,3932,NA,700,NA
SEEDGWAS1087:MRG:4:250067785,0,70,297.1404114,25.42227936,51.33234406,1278.771851,NA,1939,NA,500,NA
SEEDGWAS1088:MRG:4:250067786,0,100,297.1404114,15.60473537,130.8786774,1196.093994,NA,2876,NA,NA,NA
SEEDGWAS1091:MRG:4:250067789,0,100,272.3787231,14.30434036,119.9721069,1132.684082,NA,2876,NA,NA,NA
SEEDGWAS1095:MRG:4:250067792,0,60,NA,NA,NA,559.3971558,NA,2546,866,600,NA
SEEDGWAS1096:MRG:4:250067793,0,60,NA,NA,NA,559.3971558,NA,2546,866,600,NA
SEEDGWAS1097:MRG:4:250067794,0,100,297.1404114,25.42227936,51.33234406,831.9223633,NA,1800,1089,600,NA
SEEDGWAS1099:MRG:4:250067796,0,80,545.8120117,67.43858337,124.3141403,343.2354736,NA,NA,NA,NA,NA
SEEDGWAS1100:MRG:4:250067797,0,70,134.8636322,9.316637039,67.74820709,823.5606689,NA,NA,NA,NA,NA
SEEDGWAS1101:MRG:4:250067798,60,10,NA,NA,NA,592.8151855,1000,2884,NA,500,NA
SEEDGWAS1102:MRG:4:250067799,0,30,206.9999847,14.29995537,103.9856186,544.6063232,800,3961,615,500,NA
SEEDGWAS1103:MRG:4:250067800,60,10,134.8636322,9.316637039,67.74820709,623.8876953,1000,2884,NA,500,NA
SEEDGWAS1104:MRG:4:250067802,70,10,206.9999847,14.29995537,103.9856186,544.6063232,NA,4742,NA,500,NA
SEEDGWAS1105:MRG:4:250067803,10,60,940.0096436,116.1442337,214.0965729,502.1351624,100,3191,475,600,NA
SEEDGWAS1106:MRG:4:250067804,0,80,272.3787231,19.74278259,102.826088,534.1290894,800,3333,531,500,NA
SEEDGWAS1107:MRG:4:250067805,0,50,485.1662903,59.9454155,110.5014648,768.1884155,300,2875,633,600,NA
SEEDGWAS1108:MRG:4:250067806,40,40,485.1662903,59.9454155,110.5014648,768.1884155,NA,NA,NA,NA,NA
SEEDGWAS1109:MRG:4:250067807,0,50,485.1662903,59.9454155,110.5014648,768.1884155,300,2875,633,600,NA
SEEDGWAS1110:MRG:4:250067808,0,60,NA,NA,NA,780.8395996,NA,2827,NA,500,NA
SEEDGWAS1111:MRG:4:250067809,10,20,NA,NA,NA,1168.445068,NA,6326,NA,1000,NA
SEEDGWAS1114:MRG:4:250067811,40,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEEDGWAS1115:MRG:4:250070129,33,67,321.8891602,34.7212944,69.44468689,1053.134888,61,3433,475,700,NA
SEEDGWAS1118:MRG:4:250070132,0,80,NA,NA,NA,709.7969971,NA,3763,767,700,NA
SEEDGWAS112:MRG:4:250054525,0,95,297.1404114,15.60473537,130.8786774,963.7682495,2800,1956,866,500,NA
SEEDGWAS1120:MRG:4:250070133,0,60,NA,NA,NA,900.7983398,NA,2827,NA,500,NA
SEEDGWAS1121:MRG:4:250070134,0,10,NA,NA,NA,951.5601807,NA,3579,NA,600,NA
SEEDGWAS1122:MRG:4:250070135,60,40,206.9999847,14.29995537,103.9856186,389.6566162,1000,2713,NA,500,NA
SEEDGWAS1124:MRG:4:250070137,0,20,69,4.281369686,40.89954758,346.4642944,NA,1890,NA,300,NA
SEEDGWAS1125:MRG:4:250070138,0,20,69,4.281369686,40.89954758,346.4642944,NA,1890,NA,300,NA
SEEDGWAS1126:MRG:4:250070139,0,20,NA,NA,NA,644.5895996,NA,5391,NA,900,NA
SEEDGWAS1128:MRG:4:250070140,0,100,1323.805298,163.5646515,301.5098877,898.6968384,NA,3518,NA,NA,NA
SEEDGWAS113:MRG:4:250054526,0,0,NA,NA,NA,NA,NA,4240,NA,NA,NA
SEEDGWAS1130:MRG:4:250070141,0,40,297.1404114,21.5375824,112.173912,547.211853,NA,2696,NA,500,NA
SEEDGWAS1131:MRG:4:250070142,20,50,1323.805298,163.5646515,301.5098877,1086.402832,300,4182,554,700,NA
SEEDGWAS1133:MRG:4:250070143,0,100,867.7362061,45.57035446,382.2037048,666.7492676,2900,1807,718,500,NA
SEEDGWAS1134:MRG:4:250070144,20,60,NA,NA,NA,964.5320435,NA,5103,NA,900,NA
SEEDGWAS1135:MRG:4:250070145,0,10,NA,NA,NA,951.5601807,NA,7042,NA,1100,NA
SEEDGWAS1136:MRG:4:250070147,0,80,272.3787231,19.74278259,102.826088,444.2902222,NA,3717,848,700,NA
SEEDGWAS1138:MRG:4:250070149,0,40,44.95454407,2.789377451,26.64667702,328.3493347,NA,991,659,300,NA
SEEDGWAS114:MRG:4:250054527,0,50,321.8891602,39.77147675,73.31347656,778.9452515,NA,2725,NA,400,NA
SEEDGWAS1140:MRG:4:250070150,0,10,NA,NA,NA,951.5601807,NA,3579,NA,600,NA
SEEDGWAS1141:MRG:4:250070151,0,20,NA,NA,NA,683.4284058,NA,5391,NA,900,NA
SEEDGWAS1142:MRG:4:250070152,0,20,NA,NA,NA,683.4284058,NA,5391,NA,900,NA
SEEDGWAS1143:MRG:4:250070153,0,100,1323.805298,163.5646515,301.5098877,898.6968384,NA,3518,NA,NA,NA
SEEDGWAS1144:MRG:4:250070154,0,30,321.8891602,39.77147675,73.31347656,619.9072876,800,3455,529,500,NA
SEEDGWAS1145:MRG:4:250070155,0,10,NA,NA,NA,951.5601807,NA,3579,NA,600,NA
SEEDGWAS1146:MRG:4:250070156,0,80,272.3787231,19.74278259,102.826088,722.1141357,700,4043,532,500,NA
SEEDGWAS1147:MRG:4:250070157,20,50,297.1404114,21.5375824,112.173912,743.4179077,NA,3168,653,600,NA
SEEDGWAS1148:MRG:4:250070158,0,100,297.1404114,21.5375824,112.173912,743.4179077,700,4043,532,500,NA
SEEDGWAS115:MRG:4:250054528,0,100,1323.805298,163.5646515,301.5098877,893.5324707,NA,4256,634,600,NA
SEEDGWAS1150:MRG:4:250070159,0,100,297.1404114,21.5375824,112.173912,743.4179077,700,4043,532,500,NA
SEEDGWAS1151:MRG:4:250070160,20,50,297.1404114,21.5375824,112.173912,743.4179077,NA,3168,653,600,NA
SEEDGWAS1152:MRG:4:250070161,20,50,297.1404114,21.5375824,112.173912,743.4179077,NA,3168,653,600,NA
SEEDGWAS1156:MRG:4:250070164,0,90,485.1662903,59.9454155,110.5014648,347.855957,NA,3616,NA,700,NA
SEEDGWAS1157:MRG:4:250070165,20,50,1323.805298,163.5646515,301.5098877,1086.402832,300,4182,554,700,NA
SEEDGWAS1161:MRG:4:250070169,0,100,1323.805298,142.7952271,285.5990906,1122.020508,NA,NA,NA,NA,NA
SEEDGWAS1166:MRG:4:250070172,0,80,363.8893433,26.37573242,137.3723907,703.7072754,NA,2933,839,600,NA
SEEDGWAS1167:MRG:4:250070173,0,80,NA,NA,NA,599.1276245,700,4049,535,500,NA
SEEDGWAS1168:MRG:4:250070174,40,55,545.8120117,67.43858337,124.3141403,874.8029175,400,4374,NA,700,NA
SEEDGWAS1169:MRG:4:250070175,0,30,NA,NA,NA,792.7511597,NA,2653,NA,600,NA
SEEDGWAS117:MRG:4:250054530,0,80,1323.805298,163.5646515,301.5098877,1054.193359,NA,4240,NA,NA,NA
SEEDGWAS1170:MRG:4:250070176,0,80,NA,NA,NA,617.3059692,NA,3717,848,700,NA
SEEDGWAS1171:MRG:4:250070177,0,80,867.7362061,47.08076096,409.7195129,577.3012085,1000,3483,523,600,NA
SEEDGWAS1172:MRG:4:250070178,0,80,NA,NA,NA,492.8796692,NA,4747,NA,800,NA
SEEDGWAS1173:MRG:4:250070179,0,60,NA,NA,NA,906.2702637,NA,5874,NA,1000,NA
SEEDGWAS1174:MRG:4:250070180,0,60,NA,NA,NA,906.2702637,NA,5874,NA,1000,NA
SEEDGWAS1175:MRG:4:250070181,0,60,NA,NA,NA,906.2702637,NA,5874,NA,1000,NA
SEEDGWAS1176:MRG:4:250070182,0,80,NA,NA,NA,607.6628418,NA,2933,839,600,NA
SEEDGWAS1177:MRG:4:250070183,0,80,940.0096436,116.1442337,214.0965729,1078.3479,NA,3386,599,600,NA
SEEDGWAS1178:MRG:4:250070184,0,100,1323.805298,163.5646515,301.5098877,547.6341553,NA,3518,NA,NA,NA
SEEDGWAS1179:MRG:4:250070185,0,80,NA,NA,NA,599.1276245,700,4049,535,500,NA
SEEDGWAS118:MRG:4:250054531,20,50,1323.805298,163.5646515,301.5098877,1086.402832,300,4182,554,700,NA
SEEDGWAS1180:MRG:4:250070186,0,80,503.8467712,36.5202446,190.2079315,428.1758423,700,4049,535,500,NA
SEEDGWAS1183:MRG:4:250070188,0,90,272.3787231,14.30434036,119.9721069,572.9525757,NA,3075,863,600,NA
SEEDGWAS1184:MRG:4:250070189,0,70,867.7362061,47.08076096,409.7195129,812.5671997,NA,2822,906,600,NA
SEEDGWAS1185:MRG:4:250070190,0,90,485.1662903,59.9454155,110.5014648,546.234375,NA,3616,NA,700,NA
SEEDGWAS1187:MRG:4:250070192,0,80,297.1404114,21.5375824,112.173912,500.0404663,800,2220,504,500,NA
SEEDGWAS1188:MRG:4:250070193,0,80,867.7362061,62.89599228,327.5803528,661.8512573,1000,3483,523,600,NA
SEEDGWAS1189:MRG:4:250070194,0,100,189.75,13.10829258,95.32015991,1084.755493,NA,NA,NA,NA,NA
SEEDGWAS119:MRG:4:250054532,0,100,297.1404114,21.5375824,112.173912,743.4179077,NA,3168,653,600,NA
SEEDGWAS1191:MRG:4:250070195,0,100,297.1404114,21.5375824,112.173912,743.4179077,NA,3168,653,600,NA
SEEDGWAS1192:MRG:4:250070196,0,80,297.1404114,16.12194824,140.3009796,526.9937744,NA,3763,767,700,NA
SEEDGWAS1195:MRG:4:250070199,0,100,1323.805298,163.5646515,301.5098877,1015.651184,200,4520,523,700,NA
SEEDGWAS1196:MRG:4:250070200,0,100,1323.805298,163.5646515,301.5098877,1176.30896,200,4520,523,700,NA
SEEDGWAS1197:MRG:4:250070201,20,30,272.3787231,19.74278259,102.826088,571.3217163,NA,NA,NA,NA,NA
SEEDGWAS1198:MRG:4:250070202,20,50,321.8891602,34.7212944,69.44468689,534.9176025,NA,NA,NA,NA,NA
SEEDGWAS1199:MRG:4:250070203,20,30,272.3787231,19.74278259,102.826088,571.3217163,800,3333,531,500,NA
SEEDGWAS12:MRG:4:250054454,0,70,NA,NA,NA,NA,NA,2822,906,600,NA
SEEDGWAS120:MRG:4:250054533,0,100,1323.805298,163.5646515,301.5098877,898.6968384,NA,3168,653,600,NA
SEEDGWAS1200:MRG:4:250070204,10,60,209.7156677,25.91171837,47.76483917,361.4589233,100,3191,475,600,NA
SEEDGWAS1204:MRG:4:250070208,0,60,867.7362061,62.89599228,327.5803528,439.2327271,NA,NA,NA,NA,NA
SEEDGWAS1205:MRG:4:250070209,0,100,394.1975708,48.70565033,89.78244019,447.4083252,200,4411,590,700,NA
SEEDGWAS1206:MRG:4:250070210,0,100,394.1975708,48.70565033,89.78244019,447.4083252,200,4411,590,700,NA
SEEDGWAS1207:MRG:4:250070211,20,50,363.8893433,26.37573242,137.3723907,441.0729065,200,4411,590,700,NA
SEEDGWAS1208:MRG:4:250070212,0,50,940.0096436,116.1442337,214.0965729,428.1207581,NA,4212,NA,NA,NA
SEEDGWAS1209:MRG:4:250070213,10,20,867.7362061,62.89599228,327.5803528,1044.834961,NA,6326,NA,1000,NA
SEEDGWAS121:MRG:4:250054534,0,50,272.3787231,14.77845192,128.6092072,647.4835815,NA,3820,NA,NA,NA
SEEDGWAS1210:MRG:4:250070214,0,100,394.1975708,48.70565033,89.78244019,447.4083252,200,4411,590,700,NA
SEEDGWAS1211:MRG:4:250070215,0,60,394.1975708,48.70565033,89.78244019,447.4083252,300,4018,509,700,NA
SEEDGWAS1212:MRG:4:250070216,20,50,394.1975708,48.70565033,89.78244019,447.4083252,NA,NA,NA,NA,NA
SEEDGWAS1214:MRG:4:250070218,20,50,447.8638611,23.52018356,197.2664185,520.5009766,100,1306,627,400,NA
SEEDGWAS1215:MRG:4:250070219,0,60,272.3787231,19.74278259,102.826088,522.0390625,300,4018,509,700,NA
SEEDGWAS1216:MRG:4:250070220,0,100,940.0096436,116.1442337,214.0965729,428.1207581,200,4411,590,700,NA
SEEDGWAS122:MRG:4:250054535,0,67,297.1404114,21.5375824,112.173912,1044.406738,NA,3820,NA,NA,NA
SEEDGWAS1220:MRG:4:250070223,0,60,576.7180786,71.25722504,131.353302,413.1086426,700,3591,523,500,NA
SEEDGWAS123:MRG:4:250054536,0,60,272.3787231,19.74278259,102.826088,1074.714966,NA,3690,704,600,NA
SEEDGWAS124:MRG:4:250054537,0,100,1323.805298,163.5646515,301.5098877,993.5355225,200,4520,523,700,NA
SEEDGWAS1241:MRG:4:250070272,0,100,272.3787231,19.74278259,102.826088,450.7648621,NA,NA,NA,NA,NA
SEEDGWAS1242:MRG:4:250070273,20,50,447.8638611,23.52018356,197.2664185,520.5009766,1900,2273,923,500,NA
SEEDGWAS1244:MRG:4:250070274,20,50,447.8638611,23.52018356,197.2664185,520.5009766,100,1306,627,400,NA
SEEDGWAS1246:MRG:4:250070275,20,50,272.3787231,19.74278259,102.826088,469.2328796,600,3651,510,700,NA
SEEDGWAS1247:MRG:4:250070276,0,100,NA,NA,NA,452.6916809,NA,NA,NA,NA,NA
SEEDGWAS1249:MRG:4:250070278,20,70,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEEDGWAS125:MRG:4:250054538,0,100,1323.805298,163.5646515,301.5098877,993.5355225,200,4520,523,700,NA
SEEDGWAS1250:MRG:4:250070279,0,80,NA,NA,NA,NA,NA,3547,NA,NA,NA
SEEDGWAS1254:MRG:4:250070280,0,80,867.7362061,62.89599228,327.5803528,520.4330444,NA,3932,NA,700,NA
SEEDGWAS1256:MRG:4:250070283,0,100,1323.805298,163.5646515,301.5098877,898.6968384,NA,3168,653,600,NA
SEEDGWAS1257:MRG:4:250070284,0,50,394.1975708,48.70565033,89.78244019,447.4083252,NA,4212,NA,NA,NA
SEEDGWAS1258:MRG:4:250070285,0,50,394.1975708,48.70565033,89.78244019,447.4083252,NA,4212,NA,NA,NA
SEEDGWAS1259:MRG:4:250070286,0,50,394.1975708,48.70565033,89.78244019,447.4083252,NA,4212,NA,NA,NA
SEEDGWAS1260:MRG:4:250070287,0,60,867.7362061,62.89599228,327.5803528,1044.834961,NA,NA,NA,NA,NA
SEEDGWAS1261:MRG:4:250070288,0,70,297.1404114,21.5375824,112.173912,582.3587646,NA,NA,NA,NA,NA
SEEDGWAS1263:MRG:4:250070290,0,67,297.1404114,21.5375824,112.173912,1027.116943,NA,3820,NA,NA,NA
SEEDGWAS1264:MRG:4:250070292,0,100,1323.805298,163.5646515,301.5098877,898.6968384,NA,3518,NA,NA,NA
SEEDGWAS1265:MRG:4:250070293,20,50,1323.805298,163.5646515,301.5098877,1086.402832,NA,3168,653,600,NA
SEEDGWAS1266:MRG:4:250070294,0,40,297.1404114,21.5375824,112.173912,500.0404663,200,3415,414,600,NA
SEEDGWAS1267:MRG:4:250070295,0,100,297.1404114,15.60473537,130.8786774,659.8467407,NA,2846,1060,700,NA
SEEDGWAS1268:MRG:4:250070296,0,100,189.75,13.10829258,95.32015991,1084.755493,NA,NA,NA,NA,NA
SEEDGWAS1269:MRG:4:250070297,0,80,532.3766479,28.88516235,251.3726044,465.3684082,NA,3211,870,600,NA
SEEDGWAS127:MRG:4:250054539,0,80,297.1404114,21.5375824,112.173912,460.6253357,NA,3211,870,600,NA
SEEDGWAS1270:MRG:4:250070298,0,80,532.3766479,28.88516235,251.3726044,465.3684082,NA,3211,870,600,NA
SEEDGWAS1271:MRG:4:250070299,0,80,69,4.281369686,40.89954758,485.8505859,NA,3211,870,600,NA
SEEDGWAS1272:MRG:4:250070300,0,50,297.1404114,16.12194824,140.3009796,506.048584,NA,NA,NA,NA,NA
SEEDGWAS1274:MRG:4:250070301,0,60,576.7180786,71.25722504,131.353302,413.1086426,700,3591,523,500,NA
SEEDGWAS1277:MRG:4:250070302,0,80,532.3766479,28.88516235,251.3726044,465.3684082,NA,3211,870,600,NA
SEEDGWAS1278:MRG:4:250070303,0,80,297.1404114,16.12194824,140.3009796,720.5383301,NA,3211,870,600,NA
SEEDGWAS1279:MRG:4:250070304,0,80,532.3766479,28.88516235,251.3726044,465.3684082,NA,3211,870,600,NA
SEEDGWAS128:MRG:4:250054540,0,50,297.1404114,16.12194824,140.3009796,720.5383301,200,4520,523,700,NA
SEEDGWAS1281:MRG:4:250070306,0,50,297.1404114,21.5375824,112.173912,455.5568237,NA,NA,NA,NA,NA
SEEDGWAS1282:MRG:4:250070307,10,0,69,4.281369686,40.89954758,485.8505859,NA,4427,NA,400,NA
SEEDGWAS1283:MRG:4:250070308,0,80,NA,NA,NA,NA,200,4520,523,700,NA
SEEDGWAS1284:MRG:4:250070310,0,80,576.7180786,71.25722504,131.353302,413.1086426,NA,3211,870,600,NA
SEEDGWAS1287:MRG:4:250070313,0,40,272.3787231,19.74278259,102.826088,513.206543,NA,2933,839,600,NA
SEEDGWAS1289:MRG:4:250070314,0,0,NA,NA,NA,452.6916809,NA,NA,NA,NA,NA
SEEDGWAS129:MRG:4:250056097,0,100,NA,NA,NA,592.5731812,NA,NA,NA,NA,NA
SEEDGWAS1293:MRG:4:250070317,0,90,272.3787231,14.30434036,119.9721069,572.9525757,NA,3690,704,600,NA
SEEDGWAS1294:MRG:4:250070318,10,60,321.8891602,39.77147675,73.31347656,356.1781921,100,3191,475,600,NA
SEEDGWAS1295:MRG:4:250070319,0,80,NA,NA,NA,512.9988403,NA,3763,767,700,NA
SEEDGWAS13:MRG:4:250054455,0,70,867.7362061,47.08076096,409.7195129,812.5671997,NA,2822,906,600,NA
SEEDGWAS130:MRG:4:250056098,0,100,272.3787231,19.74278259,102.826088,641.4318237,NA,NA,NA,NA,NA
SEEDGWAS1302:MRG:4:250070326,33,67,576.7180786,62.20898056,124.4217377,675.8806763,61,3433,475,700,NA
SEEDGWAS1303:MRG:4:250070327,0,50,272.3787231,19.74278259,102.826088,678.2989502,44,3922,560,700,NA
SEEDGWAS1304:MRG:4:250070328,0,0,206.9999847,14.29995537,103.9856186,NA,NA,4287,NA,800,NA
SEEDGWAS1305:MRG:4:250070329,60,10,NA,NA,NA,878.6196899,700,4896,NA,600,NA
SEEDGWAS1306:MRG:4:250070330,50,30,206.9999847,14.29995537,103.9856186,NA,700,3193,NA,500,NA
SEEDGWAS1307:MRG:4:250070331,60,10,189.75,13.10829258,95.32015991,624.6601563,800,3961,615,500,NA
SEEDGWAS1308:MRG:4:250070332,60,10,NA,NA,NA,878.6196899,1000,2884,NA,500,NA
SEEDGWAS1309:MRG:4:250070333,60,10,NA,NA,NA,878.6196899,700,4896,NA,600,NA
SEEDGWAS131:MRG:4:250056099,0,100,272.3787231,19.74278259,102.826088,506.5207214,NA,NA,NA,NA,NA
SEEDGWAS1310:MRG:4:250070334,60,10,NA,NA,NA,878.6196899,1000,2884,NA,500,NA
SEEDGWAS1311:MRG:4:250070335,60,10,NA,NA,NA,732.8342285,700,4896,NA,600,NA
SEEDGWAS1312:MRG:4:250070336,60,10,NA,NA,NA,732.8342285,700,4896,NA,600,NA
SEEDGWAS1313:MRG:4:250070337,0,100,NA,NA,NA,732.8342285,700,4896,NA,600,NA
SEEDGWAS1316:MRG:4:250070338,0,30,1323.805298,163.5646515,301.5098877,553.5778809,700,3175,523,600,NA
SEEDGWAS1317:MRG:4:250070339,0,50,NA,NA,NA,768.6063232,300,3001,491,600,NA
SEEDGWAS132:MRG:4:250056100,0,30,272.3787231,19.74278259,102.826088,486.2151489,800,3455,529,500,NA
SEEDGWAS1320:MRG:4:250070340,0,70,NA,NA,NA,768.6063232,NA,NA,NA,NA,NA
SEEDGWAS1321:MRG:4:250070341,0,50,1323.805298,163.5646515,301.5098877,502.2569275,300,3001,491,600,NA
SEEDGWAS1322:MRG:4:250070342,0,30,NA,NA,NA,732.8342285,NA,7523,NA,1200,NA
SEEDGWAS1323:MRG:4:250070343,0,100,NA,NA,NA,648.2208252,NA,3373,894,700,NA
SEEDGWAS1324:MRG:4:250070344,0,80,1323.805298,163.5646515,301.5098877,502.2569275,200,3929,485,600,NA
SEEDGWAS1325:MRG:4:250070345,0,80,1323.805298,163.5646515,301.5098877,502.2569275,200,3929,485,600,NA
SEEDGWAS1326:MRG:4:250070346,0,80,1323.805298,163.5646515,301.5098877,502.2569275,200,3929,485,600,NA
SEEDGWAS1327:MRG:4:250070347,0,80,1323.805298,163.5646515,301.5098877,502.2569275,200,3929,485,600,NA
SEEDGWAS1329:MRG:4:250070348,60,10,134.8636322,9.316637039,67.74820709,623.8876953,1000,2884,NA,500,NA
SEEDGWAS133:MRG:4:250056101,45,35,189.75,13.10829258,95.32015991,598.043335,900,2543,NA,500,NA
SEEDGWAS1330:MRG:4:250070349,0,0,189.75,13.10829258,95.32015991,624.6601563,NA,NA,NA,NA,NA
SEEDGWAS1332:MRG:4:250070350,0,80,1323.805298,163.5646515,301.5098877,502.2569275,200,3929,485,600,NA
SEEDGWAS1333:MRG:4:250070351,0,80,1323.805298,163.5646515,301.5098877,553.5778809,200,3929,485,600,NA
SEEDGWAS1334:MRG:4:250105240,0,80,1323.805298,163.5646515,301.5098877,502.2569275,200,3929,485,600,NA
SEEDGWAS1335:MRG:4:250105241,0,30,NA,NA,NA,512.9988403,NA,4858,NA,800,NA
SEEDGWAS1336:MRG:4:250105242,0,30,NA,NA,NA,512.9988403,NA,4858,NA,800,NA
SEEDGWAS1337:MRG:4:250105243,0,30,NA,NA,NA,512.9988403,NA,4858,NA,800,NA
SEEDGWAS1338:MRG:4:250105244,0,80,NA,NA,NA,512.9988403,NA,3763,767,700,NA
SEEDGWAS134:MRG:4:250056102,10,0,69,4.281369686,40.89954758,485.8505859,NA,4427,NA,400,NA
SEEDGWAS1340:MRG:4:250105245,0,30,NA,NA,NA,695.7028198,NA,4858,NA,800,NA
