"GeneName","pvalue","no_of_SNPs","pval_combination_GBJ_minP_GHC_SKAT","list_of_pvalue"
"Zm00001eb018230",0.0002644086339878,2,"Yes","0.0001322172,0.6004108"
"Zm00001eb190590",0.000523159337128876,2,"Yes","0.1865104,0.0002616145"
"Zm00001eb175150",0.000669633223733035,2,"Yes","0.00601473,0.0003411127"
"Zm00001eb013860",0.00154044294918887,4,"Yes","0.8542667,0.5070655,0.00719628,0.004842228"
"Zm00001eb155010",0.00155658524727709,10,"Yes","0.03181358,0.05736693,0.7115848,0.1220135,0.4489262,0.02327347,0.04934788,0.1285078,0.7698041,0.04825793"
"Zm00001eb241230",0.00175131227972469,6,"Yes","0.0001205349,0.2638943,0.1310317,0.7739449,0.4424879,0.1059857"
"Zm00001eb092230",0.001922454,1,"No","0.001922454"
"Zm00001eb432700",0.00237848740990221,3,"Yes","0.00279237,0.002209035,0.07650007"
"Zm00001eb432710",0.00237848740990221,3,"Yes","0.00279237,0.002209035,0.07650007"
"Zm00001eb191760",0.0029725844253945,9,"Yes","0.00061382,0.7501951,0.4758359,0.09825844,0.9644452,0.3115629,0.005305174,0.2798836,0.009499717"
"Zm00001eb062450",0.00402945491682338,2,"Yes","0.002016956,0.1800195"
"Zm00001eb283800",0.004354213,1,"No","0.004354213"
"Zm00001eb192780",0.004560573112532,10,"Yes","0.2083836,0.5149553,0.6305904,0.5639889,0.331432,0.1008965,0.7146738,0.0001801548,0.7751652,0.7525744"
"Zm00001eb070580",0.00464829485204588,7,"Yes","0.6288481,0.2865942,0.08378644,0.1878899,0.0002213143,0.5933486,0.4318396"
"Zm00001eb198050",0.004729717,1,"No","0.004729717"
"Zm00001eb043720",0.0048252302431494,3,"Yes","0.5793701,0.000824796,0.4825331"
"Zm00001eb211570",0.005829532,1,"No","0.005829532"
"Zm00001eb120190",0.00601467929290223,2,"Yes","0.577167,0.003012194"
"Zm00001eb114380",0.00635394835260761,6,"Yes","0.8796476,0.667521,0.9250177,0.5541719,0.0004357489,0.9150672"
"Zm00001eb115290",0.00664802356719907,3,"Yes","0.2262069,0.006319995,0.006979857"
"Zm00001eb195220",0.006706232,1,"No","0.006706232"
"Zm00001eb378970",0.006888724324145,3,"Yes","0.03817372,0.001186764,0.7612326"
"Zm00001eb433490",0.007340756,1,"No","0.007340756"
"Zm00001eb158110",0.008241097,1,"No","0.008241097"
"Zm00001eb135780",0.00857306472610542,2,"Yes","0.02619311,0.005384412"
"Zm00001eb366490",0.00887876205497296,2,"Yes","0.004451858,0.696279"
"Zm00001eb072580",0.009043047,1,"No","0.009043047"
"Zm00001eb002590",0.00941228758315504,3,"Yes","0.01563827,0.01424942,0.03177635"
"Zm00001eb008180",0.01005432,1,"No","0.01005432"
"Zm00001eb079260",0.0101146600679547,3,"Yes","0.757272,0.02431338,0.006436561"
"Zm00001eb281660",0.0101567785914329,4,"Yes","0.8933357,0.537082,0.6955837,0.001531722"
"Zm00001eb038720",0.0103512033642033,5,"Yes","0.01478965,0.2169275,0.004143636,0.5797505,0.9269369"
"Zm00001eb211330",0.010909070864395,3,"Yes","0.01223654,0.7485401,0.04393936"
"Zm00001eb220640",0.0109454253688955,2,"Yes","0.005518266,0.7793333"
"Zm00001eb359430",0.01126276,1,"No","0.01126276"
"Zm00001eb084120",0.0113098420531668,6,"Yes","0.0008400924,0.3664434,0.1452506,0.2491178,0.9876728,0.1731933"
"Zm00001eb395700",0.01135989,1,"No","0.01135989"
"Zm00001eb382840",0.0119232865262504,2,"Yes","0.005983724,0.345218"
"Zm00001eb396670",0.01197741,1,"No","0.01197741"
"Zm00001eb219550",0.0120097767894412,6,"Yes","0.7947581,0.177652,0.04367525,0.0513944,0.03462262,0.803632"
"Zm00001eb386880",0.0125679719713554,2,"Yes","0.006453769,0.1235041"
"Zm00001eb415980",0.01258435,1,"No","0.01258435"
"Zm00001eb415990",0.01258435,1,"No","0.01258435"
"Zm00001eb317850",0.0128828944788244,2,"Yes","0.2756425,0.006653625"
"Zm00001eb357990",0.0131640417551332,4,"Yes","0.01098057,0.8807677,0.00900379,0.7120509"
"Zm00001eb356430",0.0131765980679613,2,"Yes","0.006620163,0.8605838"
"Zm00001eb318180",0.0131806128624975,6,"Yes","0.9773212,0.001014355,0.350665,0.01320542,0.471418,0.1092425"
"Zm00001eb250590",0.013751271520231,2,"Yes","0.8961681,0.006945526"
"Zm00001eb365730",0.01404467,1,"No","0.01404467"
"Zm00001eb365740",0.01404467,1,"No","0.01404467"
"Zm00001eb407140",0.0147235845708718,2,"Yes","0.007388976,0.575055"
"Zm00001eb311750",0.0148484129845367,2,"Yes","0.007478577,0.1502062"
"Zm00001eb142090",0.0150563286835469,3,"Yes","0.3249628,0.08063567,0.002634207"
"Zm00001eb006030",0.0151138296110389,3,"Yes","0.8451771,0.9514357,0.002652717"
"Zm00001eb333010",0.01542581,1,"No","0.01542581"
"Zm00001eb216690",0.0155400486417876,6,"Yes","0.008540668,0.5601661,0.04054023,0.0115169,0.2378128,0.7574233"
"Zm00001eb408950",0.0155957512894237,6,"Yes","0.8331222,0.1160257,0.1798938,0.2863713,0.009026629,0.008922427"
"Zm00001eb021390",0.0158473615126472,4,"Yes","0.5364774,0.8565927,0.002600121,0.7488959"
"Zm00001eb153640",0.0159745999103935,15,"Yes","0.5953164,0.7155683,0.7099812,0.696374,0.6858321,0.3526334,0.03330112,0.04337287,0.720709,0.545158,0.02848506,0.1004376,0.95822,0.0003859659,0.7587772"
"Zm00001eb272690",0.0160075831685057,3,"Yes","0.01214225,0.01131626,0.01214225"
"Zm00001eb234370",0.01602706,1,"No","0.01602706"
"Zm00001eb410840",0.0160729348651097,4,"Yes","0.002542733,0.4827518,0.7521217,0.9707717"
"Zm00001eb395630",0.0167464203865052,5,"Yes","0.2445175,0.4866085,0.06255058,0.03570666,0.08038644"
"Zm00001eb031900",0.01696433,1,"No","0.01696433"
"Zm00001eb244520",0.0175915,1,"No","0.0175915"
"Zm00001eb226900",0.0177145513604098,5,"Yes","0.3315415,0.3148569,0.1045984,0.001471283,0.5544979"
"Zm00001eb194380",0.0180157122981346,4,"Yes","0.03987177,0.02758239,0.1472748,0.8693141"
"Zm00001eb287330",0.0182259153343401,2,"Yes","0.009158977,0.8955612"
"Zm00001eb354180",0.0187776185105167,5,"Yes","0.7800911,0.01876514,0.2176223,0.005726172,0.7498529"
"Zm00001eb046510",0.0187947324922507,7,"Yes","0.5356157,0.416266,0.9930813,0.009148475,0.009810963,0.01601863,0.6015162"
"Zm00001eb165300",0.01912464,1,"No","0.01912464"
"Zm00001eb232240",0.0191389673478545,3,"Yes","0.01344434,0.0310396,0.1996371"
"Zm00001eb162090",0.01924887,1,"No","0.01924887"
"Zm00001eb405870",0.0193495333692127,9,"Yes","0.7137895,0.5648801,0.7333984,0.8909615,0.01439256,0.0104483,0.07202601,0.4100565,0.02692661"
"Zm00001eb038650",0.0196233245325919,4,"Yes","0.7725257,0.5411144,0.2719324,0.002950142"
"Zm00001eb398220",0.0204757164785596,3,"Yes","0.4372691,0.003860813,0.8924202"
"Zm00001eb314470",0.02087014,1,"No","0.02087014"
"Zm00001eb051900",0.0216176550911672,2,"Yes","0.9913835,0.01086879"
"Zm00001eb253110",0.02177884,1,"No","0.02177884"
"Zm00001eb429440",0.0217986526404945,5,"Yes","0.08257063,0.08912161,0.680916,0.9747838,0.06575552"
"Zm00001eb054940",0.0221307467462366,5,"Yes","0.009893194,0.05673411,0.09337896,0.7636433,0.6151513"
"Zm00001eb007230",0.02278805,1,"No","0.02278805"
"Zm00001eb075290",0.02423226,1,"No","0.02423226"
"Zm00001eb069740",0.0243365426106618,2,"Yes","0.01228215,0.02429865"
"Zm00001eb039370",0.02434029,1,"No","0.02434029"
"Zm00001eb411740",0.02466556,1,"No","0.02466556"
"Zm00001eb407800",0.0249291296164317,13,"Yes","0.8020177,0.02883863,0.7626892,0.003031847,0.05340982,0.03940145,0.02277766,0.7401016,0.4053966,0.1815904,0.9905864,0.6708692,0.6194904"
"Zm00001eb290820",0.0251699512378369,4,"Yes","0.6186084,0.2350809,0.5339484,0.003547363"
"Zm00001eb317940",0.0270402967656365,6,"Yes","0.02208032,0.06994666,0.01713835,0.08078391,0.5789002,0.5319989"
"Zm00001eb354250",0.0270927840216159,2,"Yes","0.01379135,0.4226825"
"Zm00001eb158220",0.02714745,1,"No","0.02714745"
"Zm00001eb430200",0.0273721618132517,7,"Yes","0.1623311,0.8876348,0.8422213,0.03312302,0.03371417,0.1659549,0.01476204"
"Zm00001eb264810",0.0275158333611273,3,"Yes","0.007030474,0.5891963,0.5568392"
"Zm00001eb054210",0.0277805432061704,2,"Yes","0.7115144,0.01399751"
"Zm00001eb350890",0.0280182176351256,2,"Yes","0.01697616,0.1295043"
"Zm00001eb160920",0.0284016,1,"No","0.0284016"
"Zm00001eb395380",0.02875837,1,"No","0.02875837"
"Zm00001eb119920",0.0301022410010526,2,"Yes","0.01517235,0.7909151"
"Zm00001eb359520",0.03025336,1,"No","0.03025336"
"Zm00001eb318320",0.0306413096732887,2,"Yes","0.8731362,0.01544047"
"Zm00001eb391130",0.0306767352811108,2,"Yes","0.03339097,0.01797742"
"Zm00001eb375690",0.03113851,1,"No","0.03113851"
"Zm00001eb154380",0.03144847,1,"No","0.03144847"
"Zm00001eb066560",0.03170398,1,"No","0.03170398"
"Zm00001eb081590",0.0320469325932212,5,"Yes","0.03102037,0.4699897,0.6605369,0.9127952,0.03411148"
"Zm00001eb096190",0.03305434,1,"No","0.03305434"
"Zm00001eb143240",0.0333072677319594,3,"Yes","0.392822,0.4295263,0.005992994"
"Zm00001eb194140",0.0336841066087398,3,"Yes","0.05794453,0.1168608,0.01290512"
"Zm00001eb056940",0.03368633,1,"No","0.03368633"
"Zm00001eb185570",0.03391861,1,"No","0.03391861"
"Zm00001eb264040",0.03417069,1,"No","0.03417069"
"Zm00001eb360640",0.0345316596286757,2,"Yes","0.02043448,0.04614991"
"Zm00001eb351780",0.0346381184905729,2,"Yes","0.01747507,0.750985"
"Zm00001eb352610",0.0348522665793471,2,"Yes","0.01760801,0.1698852"
"Zm00001eb124420",0.0348915231427138,4,"Yes","0.005187056,0.3815198,0.1923678,0.5840646"
"Zm00001eb003160",0.03537258,1,"No","0.03537258"
"Zm00001eb321900",0.0361459626196483,5,"Yes","0.2616461,0.387891,0.1417309,0.02117284,0.006069464"
"Zm00001eb378690",0.03642825,1,"No","0.03642825"
"Zm00001eb417200",0.03654517,1,"No","0.03654517"
"Zm00001eb265850",0.0370376350672929,9,"Yes","0.26638,0.08183308,0.0175431,0.0549693,0.5986622,0.5955588,0.03165046,0.560829,0.3118513"
"Zm00001eb412500",0.03716857,1,"No","0.03716857"
"Zm00001eb004360",0.03772196,1,"No","0.03772196"
"Zm00001eb387050",0.03782578,1,"No","0.03782578"
"Zm00001eb341090",0.0379515,1,"No","0.0379515"
"Zm00001eb243640",0.0384725800591278,6,"Yes","0.4332481,0.2317219,0.3993839,0.1532026,0.0261935,0.0210729"
"Zm00001eb361030",0.03849147,1,"No","0.03849147"
"Zm00001eb136890",0.038717078947226,7,"Yes","0.7579343,0.5049826,0.04183657,0.05028942,0.6268893,0.3364893,0.04072105"
"Zm00001eb311450",0.0388401359295584,9,"Yes","0.001813739,0.5043929,0.4833847,0.6745897,0.9686736,0.1919492,0.336549,0.8017991,0.8335128"
"Zm00001eb224300",0.03928937,1,"No","0.03928937"
"Zm00001eb021170",0.03962684,1,"No","0.03962684"
"Zm00001eb421330",0.0399546991156848,2,"Yes","0.1032144,0.02113682"
"Zm00001eb041980",0.0404771726102322,2,"Yes","0.02047879,0.9227439"
"Zm00001eb200750",0.04119999,1,"No","0.04119999"
"Zm00001eb364130",0.041403803308213,2,"Yes","0.4334979,0.02416295"
"Zm00001eb263830",0.04181748,1,"No","0.04181748"
"Zm00001eb318200",0.04197307,1,"No","0.04197307"
"Zm00001eb043490",0.04201592,1,"No","0.04201592"
"Zm00001eb051060",0.04219607,1,"No","0.04219607"
"Zm00001eb042700",0.0425342432539191,3,"Yes","0.01333866,0.06525692,0.4014102"
"Zm00001eb204360",0.0426995408059919,5,"Yes","0.004439847,0.2833397,0.09533023,0.2292803,0.6214782"
"Zm00001eb147220",0.0427370002416093,3,"Yes","0.7929989,0.946382,0.007955774"
"Zm00001eb144810",0.0429199042430796,5,"Yes","0.003815956,0.03271498,0.9595178,0.7853135,0.6838831"
"Zm00001eb197820",0.04300999,1,"No","0.04300999"
"Zm00001eb039450",0.04330305,1,"No","0.04330305"
"Zm00001eb348490",0.0434385956853011,4,"Yes","0.668166,0.006576983,0.9695284,0.9835996"
"Zm00001eb400840",0.0436567309262749,2,"Yes","0.5109169,0.02253301"
"Zm00001eb415340",0.04390257,1,"No","0.04390257"
"Zm00001eb069860",0.04414877,1,"No","0.04414877"
"Zm00001eb126920",0.0449729227085193,9,"Yes","0.2045855,0.002301173,0.8293361,0.01329203,0.6325854,0.9625794,0.5486818,0.1338424,0.1751061"
"Zm00001eb202530",0.0450808371119436,2,"Yes","0.02281255,0.8964283"
"Zm00001eb352180",0.0454731436200392,2,"Yes","0.02310842,0.9249393"
"Zm00001eb271410",0.0465425438559434,5,"Yes","0.02651914,0.02404931,0.2196612,0.6445425,0.661845"
"Zm00001eb076650",0.04662731,1,"No","0.04662731"
"Zm00001eb103170",0.04709398,1,"No","0.04709398"
"Zm00001eb183500",0.0471264361141622,5,"Yes","0.05355669,0.06476151,0.06493042,0.6587817,0.8037981"
"Zm00001eb060160",0.04717463,1,"No","0.04717463"
"Zm00001eb171350",0.0475560648133873,3,"Yes","0.009798195,0.6039486,0.8332316"
"Zm00001eb304150",0.04791727,1,"No","0.04791727"
"Zm00001eb009900",0.0479368240100466,4,"Yes","0.4804012,0.6014119,0.03003754,0.02964798"
"Zm00001eb034240",0.0495681481414112,2,"Yes","0.03930804,0.04049846"
"Zm00001eb362670",0.04983223,1,"No","0.04983223"
"Zm00001eb286030",0.0505596008209311,10,"Yes","0.3409788,0.6786862,0.04328731,0.9038155,0.5428381,0.1956081,0.02773187,0.778551,0.01960492,0.08422689"
"Zm00001eb137090",0.05153201,1,"No","0.05153201"
"Zm00001eb142080",0.0519299916245208,3,"Yes","0.05793613,0.01331147,0.740296"
"Zm00001eb322470",0.0528764654857683,6,"Yes","0.1394314,0.1020005,0.1616716,0.3629736,0.0141011,0.05337454"
"Zm00001eb311340",0.05290861,1,"No","0.05290861"
"Zm00001eb161850",0.0532499978347796,4,"Yes","0.7561606,0.00792401,0.4926238,0.9953282"
"Zm00001eb179340",0.05334118,1,"No","0.05334118"
"Zm00001eb432010",0.0543467063547364,2,"Yes","0.02791805,0.5214682"
"Zm00001eb236370",0.05440365,1,"No","0.05440365"
"Zm00001eb053500",0.05509773,1,"No","0.05509773"
"Zm00001eb205270",0.0556619480900593,5,"Yes","0.605294,0.6374256,0.1225861,0.08325344,0.1004712"
"Zm00001eb394210",0.0556652170523398,3,"Yes","0.2555454,0.1685697,0.01063377"
"Zm00001eb278050",0.0556771084706986,2,"Yes","0.9084538,0.02825265"
"Zm00001eb238190",0.05586446,1,"No","0.05586446"
"Zm00001eb381130",0.0563592974873778,2,"Yes","0.4015074,0.02933909"
"Zm00001eb432870",0.056476850799106,7,"Yes","0.2919038,0.9553407,0.2369211,0.289897,0.0256849,0.01698681,0.2995342"
"Zm00001eb249440",0.0566046098047585,2,"Yes","0.04859698,0.03397192"
"Zm00001eb161450",0.05704461,1,"No","0.05704461"
"Zm00001eb183270",0.05735497,1,"No","0.05735497"
"Zm00001eb265480",0.05769641,1,"No","0.05769641"
"Zm00001eb068390",0.05851577,1,"No","0.05851577"
"Zm00001eb122340",0.06003889,1,"No","0.06003889"
"Zm00001eb240430",0.06034853,1,"No","0.06034853"
"Zm00001eb038870",0.06062809,1,"No","0.06062809"
"Zm00001eb061190",0.0609607430004103,9,"Yes","0.5504679,0.939265,0.002297836,0.7170889,0.5397692,0.3133808,0.8164153,0.6169344,0.4974271"
"Zm00001eb059150",0.0609731438724567,2,"Yes","0.5885958,0.03097082"
"Zm00001eb400460",0.0612834176066942,7,"Yes","0.8741149,0.5201447,0.03509013,0.4257967,0.250694,0.03031546,0.08596075"
"Zm00001eb175720",0.0613480722506289,2,"Yes","0.03121586,0.8219917"
"Zm00001eb253630",0.0616275524263067,5,"Yes","0.6395975,0.288812,0.6157507,0.03103718,0.02693206"
"Zm00001eb373750",0.06234303,1,"No","0.06234303"
"Zm00001eb083670",0.0623533693966962,6,"Yes","0.00618546,0.549439,0.9728111,0.5925581,0.9031223,0.7032205"
"Zm00001eb286000",0.0626255240116048,5,"Yes","0.03223849,0.01240345,0.9920627,0.3053389,0.09449223"
"Zm00001eb399720",0.0627597902859193,4,"Yes","0.5195976,0.9233109,0.009246186,0.6858076"
"Zm00001eb399710",0.0631274001772314,4,"Yes","0.8790351,0.5195976,0.9233109,0.009246186"
"Zm00001eb122990",0.06315797,1,"No","0.06315797"
"Zm00001eb204630",0.0634605688212987,4,"Yes","0.7406874,0.05294933,0.03433969,0.1820752"
"Zm00001eb165590",0.0636914926517674,2,"Yes","0.6971913,0.03236956"
"Zm00001eb289910",0.06403538,1,"No","0.06403538"
"Zm00001eb397930",0.0641370207945493,5,"Yes","0.3592611,0.1391166,0.01817377,0.8292152,0.04330944"
"Zm00001eb059780",0.064849755458775,6,"Yes","0.1318123,0.6265836,0.6953014,0.3436349,0.1824277,0.006131865"
"Zm00001eb233580",0.0651570289955362,2,"Yes","0.09026307,0.03315436"
"Zm00001eb184370",0.0665246416546583,2,"Yes","0.449654,0.03383503"
"Zm00001eb220840",0.06686439,1,"No","0.06686439"
"Zm00001eb378830",0.06741915,1,"No","0.06741915"
"Zm00001eb124470",0.0674832467095462,3,"Yes","0.02031728,0.3947738,0.1175777"
"Zm00001eb197620",0.0681481050883805,7,"Yes","0.02991316,0.2493026,0.4199422,0.01728732,0.5104893,0.2990951,0.5224018"
"Zm00001eb215960",0.06839245,1,"No","0.06839245"
"Zm00001eb422670",0.0692396078770076,2,"Yes","0.03554892,0.4900206"
"Zm00001eb313550",0.06931914,1,"No","0.06931914"
"Zm00001eb229550",0.069372781686461,3,"Yes","0.07171265,0.1848423,0.05995765"
"Zm00001eb396000",0.0698235,1,"No","0.0698235"
"Zm00001eb396010",0.0698235,1,"No","0.0698235"
"Zm00001eb343590",0.06993049,1,"No","0.06993049"
"Zm00001eb095130",0.07142921,1,"No","0.07142921"
"Zm00001eb066060",0.0714455416502274,2,"Yes","0.03669694,0.5238533"
"Zm00001eb066070",0.0714455416502274,2,"Yes","0.03669694,0.5238533"
"Zm00001eb165170",0.0720985471673882,4,"Yes","0.4564283,0.2819817,0.2434847,0.01090375"
"Zm00001eb027760",0.0721604447722052,2,"Yes","0.1225587,0.03712299"
"Zm00001eb363420",0.0725152836836545,3,"Yes","0.02956516,0.06347287,0.07801368"
"Zm00001eb152240",0.07412616,1,"No","0.07412616"
"Zm00001eb363430",0.074587940947521,5,"Yes","0.2165639,0.7811155,0.02960418,0.7004153,0.05102908"
"Zm00001eb144610",0.0751108195168585,2,"Yes","0.03828851,0.793964"
"Zm00001eb158750",0.0757792629647451,6,"Yes","0.08227405,0.1701832,0.08649312,0.1135909,0.2489196,0.8940241"
"Zm00001eb339600",0.0759938133092106,2,"Yes","0.5857625,0.03902078"
"Zm00001eb217780",0.0761141640688656,4,"Yes","0.01284328,0.4573672,0.06980563,0.5177086"
"Zm00001eb313430",0.07684909,1,"No","0.07684909"
"Zm00001eb351380",0.077118090714107,3,"Yes","0.03382022,0.1238299,0.736041"
"Zm00001eb167230",0.0772125975487039,2,"Yes","0.3746331,0.04000048"
"Zm00001eb419590",0.0772672,1,"No","0.0772672"
"Zm00001eb400510",0.0774430703735823,2,"Yes","0.7085879,0.03950148"
"Zm00001eb070930",0.0775202056537952,3,"Yes","0.9676045,0.01650198,0.4318726"
"Zm00001eb251590",0.0777314337193645,3,"Yes","0.8597848,0.01476016,0.2000011"
"Zm00001eb216700",0.077737286655063,3,"Yes","0.1270849,0.6582383,0.01541066"
"Zm00001eb237720",0.07785444,1,"No","0.07785444"
"Zm00001eb277100",0.07807086,1,"No","0.07807086"
"Zm00001eb287550",0.0783155305803045,2,"Yes","0.5905166,0.03997778"
"Zm00001eb289290",0.0785053070613358,8,"Yes","0.5855158,0.4119545,0.1662249,0.1389084,0.009158968,0.9055959,0.9026664,0.02586986"
"Zm00001eb190180",0.0786971,1,"No","0.0786971"
"Zm00001eb274500",0.07893798,1,"No","0.07893798"
"Zm00001eb023620",0.07910196,1,"No","0.07910196"
"Zm00001eb015630",0.0791822419370684,2,"Yes","0.04045524,0.0572881"
"Zm00001eb322160",0.0808567632389319,2,"Yes","0.0415701,0.3292176"
"Zm00001eb271860",0.0811669674394291,3,"Yes","0.08722876,0.433764,0.02511852"
"Zm00001eb394270",0.081174898518524,4,"Yes","0.7902588,0.398305,0.3820525,0.01236536"
"Zm00001eb094670",0.0818956699428017,2,"Yes","0.04183888,0.9517408"
"Zm00001eb358770",0.0821961029959473,2,"Yes","0.4569947,0.04198014"
"Zm00001eb108610",0.08224214,1,"No","0.08224214"
"Zm00001eb151220",0.0822640197431755,2,"Yes","0.1495561,0.04202424"
"Zm00001eb067860",0.0823595404143684,3,"Yes","0.08012669,0.2963496,0.1280437"
"Zm00001eb084890",0.08239304,1,"No","0.08239304"
"Zm00001eb072100",0.0823948951692097,4,"Yes","0.4028989,0.2462954,0.6706389,0.01269776"
"Zm00001eb321480",0.0824837923092228,6,"Yes","0.5695062,0.3546146,0.0112964,0.5639148,0.4412186,0.03632555"
"Zm00001eb192680",0.08272026,1,"No","0.08272026"
"Zm00001eb285030",0.08279645,1,"No","0.08279645"
"Zm00001eb087460",0.0829605703647162,3,"Yes","0.1081212,0.8587532,0.08657103"
"Zm00001eb244350",0.0834117490513667,2,"Yes","0.2947842,0.04632352"
"Zm00001eb073880",0.0835927544969797,5,"Yes","0.6651839,0.007570309,0.7681919,0.7710019,0.6340831"
"Zm00001eb029080",0.08365243,1,"No","0.08365243"
"Zm00001eb278650",0.08366099,1,"No","0.08366099"
"Zm00001eb142510",0.08367751,1,"No","0.08367751"
"Zm00001eb422350",0.0840267,1,"No","0.0840267"
"Zm00001eb191780",0.0845786670764245,3,"Yes","0.8061139,0.01683059,0.7627794"
"Zm00001eb026700",0.08479172,1,"No","0.08479172"
"Zm00001eb287600",0.0849496059653262,2,"Yes","0.04342209,0.6328873"
"Zm00001eb061880",0.0850896295829114,7,"Yes","0.5174058,0.2082569,0.6580029,0.6517497,0.4195718,0.004846727,0.1146026"
"Zm00001eb244990",0.085145967693864,4,"Yes","0.07760886,0.02796532,0.5226074,0.9292661"
"Zm00001eb073580",0.08521508,1,"No","0.08521508"
"Zm00001eb253860",0.0854796453378813,14,"Yes","0.3128397,0.2934317,0.2686127,0.8370982,0.8858444,0.00836059,0.03765098,0.05042911,0.01324789,0.4922576,0.6998019,0.1198217,0.488694,0.7700664"
"Zm00001eb362700",0.08593302,1,"No","0.08593302"
"Zm00001eb052260",0.08610527,1,"No","0.08610527"
"Zm00001eb424650",0.0862397469104379,2,"Yes","0.08613691,0.04963769"
"Zm00001eb113470",0.08666677,1,"No","0.08666677"
"Zm00001eb217020",0.08802283,1,"No","0.08802283"
"Zm00001eb391380",0.08910387,1,"No","0.08910387"
"Zm00001eb285890",0.0896162980852068,9,"Yes","0.08353149,0.03089216,0.2339444,0.1646386,0.8755558,0.326078,0.3190823,0.7349557,0.004233968"
"Zm00001eb244590",0.0898703835886354,3,"Yes","0.01707298,0.2455391,0.682278"
"Zm00001eb284770",0.09001351,1,"No","0.09001351"
"Zm00001eb076690",0.09044579,1,"No","0.09044579"
"Zm00001eb127130",0.0909452033446669,2,"Yes","0.04846506,0.9652772"
"Zm00001eb386620",0.0915492507413435,2,"Yes","0.04687894,0.05436151"
"Zm00001eb376010",0.0920822460039983,2,"Yes","0.1182291,0.05495426"
"Zm00001eb139720",0.09222507,1,"No","0.09222507"
"Zm00001eb098810",0.0922373,1,"No","0.0922373"
"Zm00001eb399480",0.0925798771607915,3,"Yes","0.8580816,0.1370465,0.03252519"
"Zm00001eb086530",0.09298927,1,"No","0.09298927"
"Zm00001eb165890",0.0930193829808852,7,"Yes","0.3957625,0.6258395,0.005196882,0.3535196,0.904686,0.7511609,0.9563456"
"Zm00001eb303790",0.0932296,1,"No","0.0932296"
"Zm00001eb219690",0.0937250450253813,2,"Yes","0.1734391,0.05047966"
"Zm00001eb149780",0.0938156819712419,4,"Yes","0.954451,0.08547619,0.09072144,0.4603281"
"Zm00001eb309900",0.09409957,1,"No","0.09409957"
"Zm00001eb081570",0.0943266769729116,3,"Yes","0.02227193,0.2063691,0.5816227"
"Zm00001eb327040",0.09455294,1,"No","0.09455294"
"Zm00001eb211040",0.094864747138131,10,"Yes","0.0748457,0.07067371,0.04580585,0.5462546,0.1561777,0.9485577,0.6080308,0.7292283,0.4887424,0.1667155"
"Zm00001eb333210",0.0950322605504087,2,"Yes","0.1400776,0.04870117"
"Zm00001eb322290",0.09510648,1,"No","0.09510648"
"Zm00001eb004260",0.09595498,1,"No","0.09595498"
"Zm00001eb265520",0.09748714,1,"No","0.09748714"
"Zm00001eb052280",0.09796069,1,"No","0.09796069"
"Zm00001eb216550",0.09836056,1,"No","0.09836056"
"Zm00001eb218900",0.0990270861791188,2,"Yes","0.1154695,0.07950761"
"Zm00001eb052660",0.0993486171805128,2,"Yes","0.5617505,0.05098501"
"Zm00001eb212300",0.0995951168753118,5,"Yes","0.3903069,0.5918163,0.1547929,0.3897404,0.01018981"
"Zm00001eb051730",0.09983385,1,"No","0.09983385"
"Zm00001eb203780",0.09984839,1,"No","0.09984839"
"Zm00001eb357090",0.09984851,1,"No","0.09984851"
"Zm00001eb006790",0.100307625447694,3,"Yes","0.1439043,0.462707,0.03741701"
"Zm00001eb332350",0.1011094,1,"No","0.1011094"
"Zm00001eb428220",0.101299287259147,2,"Yes","0.06196764,0.1557552"
"Zm00001eb358960",0.101882414282985,4,"Yes","0.04271722,0.7619902,0.06401535,0.2617621"
"Zm00001eb156230",0.102007661889158,4,"Yes","0.01634263,0.3835159,0.964556,0.3479283"
"Zm00001eb009660",0.1023434,1,"No","0.1023434"
"Zm00001eb290040",0.102355845063691,3,"Yes","0.6905909,0.057101,0.1437407"
"Zm00001eb215620",0.1023914,1,"No","0.1023914"
"Zm00001eb147270",0.104020263130903,2,"Yes","0.05381399,0.3105104"
"Zm00001eb156200",0.1049411,1,"No","0.1049411"
"Zm00001eb264880",0.104964043123211,6,"Yes","0.3633836,0.05919425,0.01211373,0.6860672,0.1340781,0.4438491"
"Zm00001eb291100",0.10511884311544,4,"Yes","0.107333,0.8363182,0.1273218,0.01620656"
"Zm00001eb144720",0.1052733,1,"No","0.1052733"
"Zm00001eb352710",0.1056596,1,"No","0.1056596"
"Zm00001eb364920",0.106093927123266,2,"Yes","0.1939345,0.05989613"
"Zm00001eb254950",0.1062759,1,"No","0.1062759"
"Zm00001eb432140",0.1064058,1,"No","0.1064058"
"Zm00001eb074430",0.106743416949473,12,"Yes","0.02320479,0.05712336,0.6071377,0.5827129,0.07091058,0.03745466,0.4305348,0.4468888,0.398238,0.6124483,0.3624435,0.4117172"
"Zm00001eb371500",0.106775443129339,3,"Yes","0.02382072,0.203014,0.2952873"
"Zm00001eb282720",0.107374274627507,3,"Yes","0.1332552,0.2523199,0.1244269"
"Zm00001eb212410",0.108137083977212,2,"Yes","0.2481442,0.07114542"
"Zm00001eb107230",0.108296863387214,4,"Yes","0.2085193,0.2430121,0.108173,0.07869898"
"Zm00001eb095410",0.109022959247053,2,"Yes","0.06364664,0.1776827"
